id,platform,campaign,anonym,currency,amount
1,kitabisa,2,1,idr,4000
2,kitabisa,2,1,idr,201000
3,kitabisa,2,1,idr,2000
4,kitabisa,2,1,idr,15000000
5,kitabisa,2,1,idr,5381371
6,kitabisa,2,1,idr,3000000
7,kitabisa,2,1,idr,2576000
8,kitabisa,2,1,idr,2560000
9,kitabisa,2,1,idr,2000000
10,kitabisa,2,1,idr,1500000
11,kitabisa,2,1,idr,1000000
12,kitabisa,2,1,idr,990000
13,kitabisa,2,1,idr,600469
14,kitabisa,2,1,idr,500765
15,kitabisa,2,1,idr,500000
16,kitabisa,2,1,idr,500000
17,kitabisa,2,1,idr,500000
18,kitabisa,2,1,idr,440000
19,kitabisa,2,1,idr,400000
20,kitabisa,2,1,idr,315000
21,kitabisa,2,1,idr,311120
22,kitabisa,2,1,idr,300576
23,kitabisa,2,1,idr,300000
24,kitabisa,2,1,idr,300000
25,kitabisa,2,1,idr,300000
26,kitabisa,2,1,idr,300000
27,kitabisa,2,1,idr,250397
28,kitabisa,2,1,idr,250000
29,kitabisa,2,1,idr,250000
30,kitabisa,2,1,idr,200211
31,kitabisa,2,1,idr,200000
32,kitabisa,2,1,idr,200000
33,kitabisa,2,1,idr,200000
34,kitabisa,2,1,idr,150000
35,kitabisa,2,1,idr,150000
36,kitabisa,2,1,idr,150000
37,kitabisa,2,1,idr,150000
38,kitabisa,2,1,idr,140000
39,kitabisa,2,1,idr,100613
40,kitabisa,2,1,idr,100000
41,kitabisa,2,1,idr,100000
42,kitabisa,2,1,idr,100000
43,kitabisa,2,1,idr,100000
44,kitabisa,2,1,idr,100000
45,kitabisa,2,1,idr,100000
46,kitabisa,2,1,idr,100000
47,kitabisa,2,1,idr,100000
48,kitabisa,2,1,idr,100000
49,kitabisa,2,1,idr,100000
50,kitabisa,2,1,idr,100000
51,kitabisa,2,1,idr,100000
52,kitabisa,2,1,idr,100000
53,kitabisa,2,1,idr,100000
54,kitabisa,2,1,idr,100000
55,kitabisa,2,1,idr,100000
56,kitabisa,2,1,idr,100000
57,kitabisa,2,1,idr,100000
58,kitabisa,2,1,idr,100000
59,kitabisa,2,1,idr,100000
60,kitabisa,2,1,idr,100000
61,kitabisa,2,1,idr,100000
62,kitabisa,2,1,idr,100000
63,kitabisa,2,1,idr,100000
64,kitabisa,2,1,idr,100000
65,kitabisa,2,1,idr,100000
66,kitabisa,2,1,idr,100000
67,kitabisa,2,1,idr,100000
68,kitabisa,2,1,idr,100000
69,kitabisa,2,1,idr,100000
70,kitabisa,2,1,idr,100000
71,kitabisa,2,1,idr,100000
72,kitabisa,2,1,idr,75000
73,kitabisa,2,1,idr,67000
74,kitabisa,2,1,idr,62000
75,kitabisa,2,1,idr,52000
76,kitabisa,2,1,idr,51000
77,kitabisa,2,1,idr,50875
78,kitabisa,2,1,idr,50409
79,kitabisa,2,1,idr,50000
80,kitabisa,2,1,idr,50000
81,kitabisa,2,1,idr,50000
82,kitabisa,2,1,idr,50000
83,kitabisa,2,1,idr,50000
84,kitabisa,2,1,idr,50000
85,kitabisa,2,1,idr,50000
86,kitabisa,2,1,idr,50000
87,kitabisa,2,1,idr,50000
88,kitabisa,2,1,idr,50000
89,kitabisa,2,1,idr,50000
90,kitabisa,2,1,idr,50000
91,kitabisa,2,1,idr,50000
92,kitabisa,2,1,idr,50000
93,kitabisa,2,1,idr,50000
94,kitabisa,2,1,idr,50000
95,kitabisa,2,1,idr,50000
96,kitabisa,2,1,idr,50000
97,kitabisa,2,1,idr,50000
98,kitabisa,2,1,idr,50000
99,kitabisa,2,1,idr,50000
100,kitabisa,2,1,idr,50000
101,kitabisa,2,1,idr,50000
102,kitabisa,2,1,idr,50000
103,kitabisa,2,1,idr,50000
104,kitabisa,2,1,idr,50000
105,kitabisa,2,1,idr,50000
106,kitabisa,2,1,idr,50000
107,kitabisa,2,1,idr,50000
108,kitabisa,2,1,idr,50000
109,kitabisa,2,1,idr,50000
110,kitabisa,2,1,idr,50000
111,kitabisa,2,1,idr,50000
112,kitabisa,2,1,idr,50000
113,kitabisa,2,1,idr,50000
114,kitabisa,2,1,idr,50000
115,kitabisa,2,1,idr,50000
116,kitabisa,2,1,idr,50000
117,kitabisa,2,1,idr,50000
118,kitabisa,2,1,idr,50000
119,kitabisa,2,1,idr,50000
120,kitabisa,2,1,idr,50000
121,kitabisa,2,1,idr,50000
122,kitabisa,2,1,idr,50000
123,kitabisa,2,1,idr,50000
124,kitabisa,2,1,idr,50000
125,kitabisa,2,1,idr,50000
126,kitabisa,2,1,idr,50000
127,kitabisa,2,1,idr,50000
128,kitabisa,2,1,idr,50000
129,kitabisa,2,1,idr,50000
130,kitabisa,2,1,idr,50000
131,kitabisa,2,1,idr,50000
132,kitabisa,2,1,idr,50000
133,kitabisa,2,1,idr,50000
134,kitabisa,2,1,idr,47000
135,kitabisa,2,1,idr,46000
136,kitabisa,2,1,idr,41000
137,kitabisa,2,1,idr,40000
138,kitabisa,2,1,idr,35000
139,kitabisa,2,1,idr,35000
140,kitabisa,2,1,idr,31000
141,kitabisa,2,1,idr,30000
142,kitabisa,2,1,idr,30000
143,kitabisa,2,1,idr,30000
144,kitabisa,2,1,idr,30000
145,kitabisa,2,1,idr,30000
146,kitabisa,2,1,idr,30000
147,kitabisa,2,1,idr,25000
148,kitabisa,2,1,idr,25000
149,kitabisa,2,1,idr,25000
150,kitabisa,2,1,idr,25000
151,kitabisa,2,1,idr,25000
152,kitabisa,2,1,idr,25000
153,kitabisa,2,1,idr,25000
154,kitabisa,2,1,idr,25000
155,kitabisa,2,1,idr,25000
156,kitabisa,2,1,idr,25000
157,kitabisa,2,1,idr,25000
158,kitabisa,2,1,idr,25000
159,kitabisa,2,1,idr,25000
160,kitabisa,2,1,idr,25000
161,kitabisa,2,1,idr,20818
162,kitabisa,2,1,idr,20000
163,kitabisa,2,1,idr,20000
164,kitabisa,2,1,idr,20000
165,kitabisa,2,1,idr,20000
166,kitabisa,2,1,idr,20000
167,kitabisa,2,1,idr,20000
168,kitabisa,2,1,idr,20000
169,kitabisa,2,1,idr,20000
170,kitabisa,2,1,idr,20000
171,kitabisa,2,1,idr,20000
172,kitabisa,2,1,idr,20000
173,kitabisa,2,1,idr,20000
174,kitabisa,2,1,idr,20000
175,kitabisa,2,1,idr,20000
176,kitabisa,2,1,idr,20000
177,kitabisa,2,1,idr,20000
178,kitabisa,2,1,idr,20000
179,kitabisa,2,1,idr,20000
180,kitabisa,2,1,idr,20000
181,kitabisa,2,1,idr,20000
182,kitabisa,2,1,idr,20000
183,kitabisa,2,1,idr,20000
184,kitabisa,2,1,idr,20000
185,kitabisa,2,1,idr,20000
186,kitabisa,2,1,idr,20000
187,kitabisa,2,1,idr,20000
188,kitabisa,2,1,idr,20000
189,kitabisa,2,1,idr,20000
190,kitabisa,2,1,idr,20000
191,kitabisa,2,1,idr,20000
192,kitabisa,2,1,idr,20000
193,kitabisa,2,1,idr,20000
194,kitabisa,2,1,idr,20000
195,kitabisa,2,1,idr,20000
196,kitabisa,2,1,idr,20000
197,kitabisa,2,1,idr,20000
198,kitabisa,2,1,idr,20000
199,kitabisa,2,1,idr,20000
200,kitabisa,2,1,idr,20000
201,kitabisa,2,1,idr,20000
202,kitabisa,2,1,idr,20000
203,kitabisa,2,1,idr,20000
204,kitabisa,2,1,idr,20000
205,kitabisa,2,1,idr,20000
206,kitabisa,2,1,idr,20000
207,kitabisa,2,1,idr,20000
208,kitabisa,2,1,idr,20000
209,kitabisa,2,1,idr,20000
210,kitabisa,2,1,idr,20000
211,kitabisa,2,1,idr,20000
212,kitabisa,2,1,idr,20000
213,kitabisa,2,1,idr,20000
214,kitabisa,2,1,idr,20000
215,kitabisa,2,1,idr,20000
216,kitabisa,2,1,idr,20000
217,kitabisa,2,1,idr,20000
218,kitabisa,2,1,idr,20000
219,kitabisa,2,1,idr,20000
220,kitabisa,2,1,idr,20000
221,kitabisa,2,1,idr,20000
222,kitabisa,2,1,idr,20000
223,kitabisa,2,1,idr,20000
224,kitabisa,2,1,idr,20000
225,kitabisa,2,1,idr,20000
226,kitabisa,2,1,idr,20000
227,kitabisa,2,1,idr,20000
228,kitabisa,2,1,idr,20000
229,kitabisa,2,1,idr,20000
230,kitabisa,2,1,idr,20000
231,kitabisa,2,1,idr,20000
232,kitabisa,2,1,idr,20000
233,kitabisa,2,1,idr,20000
234,kitabisa,2,1,idr,20000
235,kitabisa,2,1,idr,20000
236,kitabisa,2,1,idr,20000
237,kitabisa,2,1,idr,20000
238,kitabisa,2,1,idr,20000
239,kitabisa,2,1,idr,20000
240,kitabisa,2,1,idr,20000
241,kitabisa,2,1,idr,20000
242,kitabisa,2,1,idr,20000
243,kitabisa,2,1,idr,20000
244,kitabisa,2,1,idr,20000
245,kitabisa,2,1,idr,20000
246,kitabisa,2,1,idr,18000
247,kitabisa,2,1,idr,15000
248,kitabisa,2,1,idr,15000
249,kitabisa,2,1,idr,15000
250,kitabisa,2,1,idr,15000
251,kitabisa,2,1,idr,15000
252,kitabisa,2,1,idr,15000
253,kitabisa,2,1,idr,15000
254,kitabisa,2,1,idr,15000
255,kitabisa,2,1,idr,15000
256,kitabisa,2,1,idr,15000
257,kitabisa,2,1,idr,14000
258,kitabisa,2,1,idr,14000
259,kitabisa,2,1,idr,13000
260,kitabisa,2,1,idr,12000
261,kitabisa,2,1,idr,12000
262,kitabisa,2,1,idr,12000
263,kitabisa,2,1,idr,12000
264,kitabisa,2,1,idr,12000
265,kitabisa,2,1,idr,12000
266,kitabisa,2,1,idr,12000
267,kitabisa,2,1,idr,12000
268,kitabisa,2,1,idr,11000
269,kitabisa,2,1,idr,11000
270,kitabisa,2,1,idr,10441
271,kitabisa,2,1,idr,10000
272,kitabisa,2,1,idr,10000
273,kitabisa,2,1,idr,10000
274,kitabisa,2,1,idr,10000
275,kitabisa,2,1,idr,10000
276,kitabisa,2,1,idr,10000
277,kitabisa,2,1,idr,10000
278,kitabisa,2,1,idr,10000
279,kitabisa,2,1,idr,10000
280,kitabisa,2,1,idr,10000
281,kitabisa,2,1,idr,10000
282,kitabisa,2,1,idr,10000
283,kitabisa,2,1,idr,10000
284,kitabisa,2,1,idr,10000
285,kitabisa,2,1,idr,10000
286,kitabisa,2,1,idr,10000
287,kitabisa,2,1,idr,10000
288,kitabisa,2,1,idr,10000
289,kitabisa,2,1,idr,10000
290,kitabisa,2,1,idr,10000
291,kitabisa,2,1,idr,10000
292,kitabisa,2,1,idr,10000
293,kitabisa,2,1,idr,10000
294,kitabisa,2,1,idr,10000
295,kitabisa,2,1,idr,10000
296,kitabisa,2,1,idr,10000
297,kitabisa,2,1,idr,10000
298,kitabisa,2,1,idr,10000
299,kitabisa,2,1,idr,10000
300,kitabisa,2,1,idr,10000
301,kitabisa,2,1,idr,10000
302,kitabisa,2,1,idr,10000
303,kitabisa,2,1,idr,10000
304,kitabisa,2,1,idr,10000
305,kitabisa,2,1,idr,10000
306,kitabisa,2,1,idr,10000
307,kitabisa,2,1,idr,10000
308,kitabisa,2,1,idr,10000
309,kitabisa,2,1,idr,10000
310,kitabisa,2,1,idr,10000
311,kitabisa,2,1,idr,10000
312,kitabisa,2,1,idr,10000
313,kitabisa,2,1,idr,10000
314,kitabisa,2,1,idr,10000
315,kitabisa,2,1,idr,10000
316,kitabisa,2,1,idr,10000
317,kitabisa,2,1,idr,10000
318,kitabisa,2,1,idr,10000
319,kitabisa,2,1,idr,10000
320,kitabisa,2,1,idr,10000
321,kitabisa,2,1,idr,10000
322,kitabisa,2,1,idr,10000
323,kitabisa,2,1,idr,10000
324,kitabisa,2,1,idr,10000
325,kitabisa,2,1,idr,10000
326,kitabisa,2,1,idr,10000
327,kitabisa,2,1,idr,10000
328,kitabisa,2,1,idr,10000
329,kitabisa,2,1,idr,10000
330,kitabisa,2,1,idr,10000
331,kitabisa,2,1,idr,10000
332,kitabisa,2,1,idr,10000
333,kitabisa,2,1,idr,10000
334,kitabisa,2,1,idr,10000
335,kitabisa,2,1,idr,10000
336,kitabisa,2,1,idr,10000
337,kitabisa,2,1,idr,10000
338,kitabisa,2,1,idr,10000
339,kitabisa,2,1,idr,10000
340,kitabisa,2,1,idr,10000
341,kitabisa,2,1,idr,10000
342,kitabisa,2,1,idr,10000
343,kitabisa,2,1,idr,10000
344,kitabisa,2,1,idr,10000
345,kitabisa,2,1,idr,10000
346,kitabisa,2,1,idr,10000
347,kitabisa,2,1,idr,10000
348,kitabisa,2,1,idr,10000
349,kitabisa,2,1,idr,10000
350,kitabisa,2,1,idr,10000
351,kitabisa,2,1,idr,10000
352,kitabisa,2,1,idr,10000
353,kitabisa,2,1,idr,10000
354,kitabisa,2,1,idr,10000
355,kitabisa,2,1,idr,10000
356,kitabisa,2,1,idr,10000
357,kitabisa,2,1,idr,10000
358,kitabisa,2,1,idr,10000
359,kitabisa,2,1,idr,10000
360,kitabisa,2,1,idr,10000
361,kitabisa,2,1,idr,10000
362,kitabisa,2,1,idr,10000
363,kitabisa,2,1,idr,10000
364,kitabisa,2,1,idr,10000
365,kitabisa,2,1,idr,10000
366,kitabisa,2,1,idr,10000
367,kitabisa,2,1,idr,10000
368,kitabisa,2,1,idr,10000
369,kitabisa,2,1,idr,10000
370,kitabisa,2,1,idr,10000
371,kitabisa,2,1,idr,10000
372,kitabisa,2,1,idr,10000
373,kitabisa,2,1,idr,10000
374,kitabisa,2,1,idr,10000
375,kitabisa,2,1,idr,10000
376,kitabisa,2,1,idr,10000
377,kitabisa,2,1,idr,10000
378,kitabisa,2,1,idr,10000
379,kitabisa,2,1,idr,10000
380,kitabisa,2,1,idr,10000
381,kitabisa,2,1,idr,10000
382,kitabisa,2,1,idr,10000
383,kitabisa,2,1,idr,10000
384,kitabisa,2,1,idr,10000
385,kitabisa,2,1,idr,10000
386,kitabisa,2,1,idr,10000
387,kitabisa,2,1,idr,10000
388,kitabisa,2,1,idr,10000
389,kitabisa,2,1,idr,10000
390,kitabisa,2,1,idr,10000
391,kitabisa,2,1,idr,10000
392,kitabisa,2,1,idr,10000
393,kitabisa,2,1,idr,10000
394,kitabisa,2,1,idr,10000
395,kitabisa,2,1,idr,10000
396,kitabisa,2,1,idr,10000
397,kitabisa,2,1,idr,10000
398,kitabisa,2,1,idr,10000
399,kitabisa,2,1,idr,10000
400,kitabisa,2,1,idr,10000
401,kitabisa,2,1,idr,10000
402,kitabisa,2,1,idr,10000
403,kitabisa,2,1,idr,10000
404,kitabisa,2,1,idr,10000
405,kitabisa,2,1,idr,10000
406,kitabisa,2,1,idr,10000
407,kitabisa,2,1,idr,10000
408,kitabisa,2,1,idr,10000
409,kitabisa,2,1,idr,10000
410,kitabisa,2,1,idr,10000
411,kitabisa,2,1,idr,10000
412,kitabisa,2,1,idr,10000
413,kitabisa,2,1,idr,10000
414,kitabisa,2,1,idr,10000
415,kitabisa,2,1,idr,10000
416,kitabisa,2,1,idr,10000
417,kitabisa,2,1,idr,10000
418,kitabisa,2,1,idr,10000
419,kitabisa,2,1,idr,10000
420,kitabisa,2,1,idr,10000
421,kitabisa,2,1,idr,10000
422,kitabisa,2,1,idr,10000
423,kitabisa,2,1,idr,10000
424,kitabisa,2,1,idr,10000
425,kitabisa,2,1,idr,10000
426,kitabisa,2,1,idr,10000
427,kitabisa,2,1,idr,10000
428,kitabisa,2,1,idr,10000
429,kitabisa,2,1,idr,10000
430,kitabisa,2,1,idr,10000
431,kitabisa,2,1,idr,10000
432,kitabisa,2,1,idr,10000
433,kitabisa,2,1,idr,10000
434,kitabisa,2,1,idr,10000
435,kitabisa,2,1,idr,10000
436,kitabisa,2,1,idr,10000
437,kitabisa,2,1,idr,10000
438,kitabisa,2,1,idr,10000
439,kitabisa,2,1,idr,10000
440,kitabisa,2,1,idr,10000
441,kitabisa,2,1,idr,10000
442,kitabisa,2,1,idr,10000
443,kitabisa,2,1,idr,9000
444,kitabisa,2,1,idr,9000
445,kitabisa,2,1,idr,9000
446,kitabisa,2,1,idr,8000
447,kitabisa,2,1,idr,8000
448,kitabisa,2,1,idr,8000
449,kitabisa,2,1,idr,8000
450,kitabisa,2,1,idr,8000
451,kitabisa,2,1,idr,7000
452,kitabisa,2,1,idr,7000
453,kitabisa,2,1,idr,7000
454,kitabisa,2,1,idr,7000
455,kitabisa,2,1,idr,7000
456,kitabisa,2,1,idr,7000
457,kitabisa,2,1,idr,6000
458,kitabisa,2,1,idr,6000
459,kitabisa,2,1,idr,6000
460,kitabisa,2,1,idr,6000
461,kitabisa,2,1,idr,6000
462,kitabisa,2,1,idr,6000
463,kitabisa,2,1,idr,6000
464,kitabisa,2,1,idr,6000
465,kitabisa,2,1,idr,6000
466,kitabisa,2,1,idr,5000
467,kitabisa,2,1,idr,5000
468,kitabisa,2,1,idr,5000
469,kitabisa,2,1,idr,5000
470,kitabisa,2,1,idr,5000
471,kitabisa,2,1,idr,5000
472,kitabisa,2,1,idr,5000
473,kitabisa,2,1,idr,5000
474,kitabisa,2,1,idr,5000
475,kitabisa,2,1,idr,5000
476,kitabisa,2,1,idr,5000
477,kitabisa,2,1,idr,5000
478,kitabisa,2,1,idr,5000
479,kitabisa,2,1,idr,5000
480,kitabisa,2,1,idr,5000
481,kitabisa,2,1,idr,5000
482,kitabisa,2,1,idr,5000
483,kitabisa,2,1,idr,5000
484,kitabisa,2,1,idr,5000
485,kitabisa,2,1,idr,5000
486,kitabisa,2,1,idr,5000
487,kitabisa,2,1,idr,5000
488,kitabisa,2,1,idr,5000
489,kitabisa,2,1,idr,5000
490,kitabisa,2,1,idr,5000
491,kitabisa,2,1,idr,5000
492,kitabisa,2,1,idr,5000
493,kitabisa,2,1,idr,5000
494,kitabisa,2,1,idr,5000
495,kitabisa,2,1,idr,5000
496,kitabisa,2,1,idr,5000
497,kitabisa,2,1,idr,5000
498,kitabisa,2,1,idr,5000
499,kitabisa,2,1,idr,5000
500,kitabisa,2,1,idr,5000
501,kitabisa,2,1,idr,5000
502,kitabisa,2,1,idr,5000
503,kitabisa,2,1,idr,5000
504,kitabisa,2,1,idr,5000
505,kitabisa,2,1,idr,5000
506,kitabisa,2,1,idr,5000
507,kitabisa,2,1,idr,5000
508,kitabisa,2,1,idr,5000
509,kitabisa,2,1,idr,5000
510,kitabisa,2,1,idr,5000
511,kitabisa,2,1,idr,5000
512,kitabisa,2,1,idr,5000
513,kitabisa,2,1,idr,5000
514,kitabisa,2,1,idr,5000
515,kitabisa,2,1,idr,5000
516,kitabisa,2,1,idr,5000
517,kitabisa,2,1,idr,5000
518,kitabisa,2,1,idr,5000
519,kitabisa,2,1,idr,5000
520,kitabisa,2,1,idr,5000
521,kitabisa,2,1,idr,5000
522,kitabisa,2,1,idr,5000
523,kitabisa,2,1,idr,5000
524,kitabisa,2,1,idr,5000
525,kitabisa,2,1,idr,5000
526,kitabisa,2,1,idr,5000
527,kitabisa,2,1,idr,5000
528,kitabisa,2,1,idr,5000
529,kitabisa,2,1,idr,5000
530,kitabisa,2,1,idr,5000
531,kitabisa,2,1,idr,4000
532,kitabisa,2,1,idr,4000
533,kitabisa,2,1,idr,4000
534,kitabisa,2,1,idr,4000
535,kitabisa,2,1,idr,4000
536,kitabisa,2,1,idr,4000
537,kitabisa,2,1,idr,4000
538,kitabisa,2,1,idr,4000
539,kitabisa,2,1,idr,4000
540,kitabisa,2,1,idr,4000
541,kitabisa,2,1,idr,4000
542,kitabisa,2,1,idr,4000
543,kitabisa,2,1,idr,3000
544,kitabisa,2,1,idr,3000
545,kitabisa,2,1,idr,3000
546,kitabisa,2,1,idr,3000
547,kitabisa,2,1,idr,3000
548,kitabisa,2,1,idr,3000
549,kitabisa,2,1,idr,3000
550,kitabisa,2,1,idr,3000
551,kitabisa,2,1,idr,3000
552,kitabisa,2,1,idr,3000
553,kitabisa,2,1,idr,3000
554,kitabisa,2,1,idr,3000
555,kitabisa,2,1,idr,3000
556,kitabisa,2,1,idr,3000
557,kitabisa,2,1,idr,3000
558,kitabisa,2,1,idr,3000
559,kitabisa,2,1,idr,3000
560,kitabisa,2,1,idr,3000
561,kitabisa,2,1,idr,3000
562,kitabisa,2,1,idr,3000
563,kitabisa,2,1,idr,3000
564,kitabisa,2,1,idr,3000
565,kitabisa,2,1,idr,3000
566,kitabisa,2,1,idr,3000
567,kitabisa,2,1,idr,2000
568,kitabisa,2,1,idr,2000
569,kitabisa,2,1,idr,2000
570,kitabisa,2,1,idr,2000
571,kitabisa,2,1,idr,2000
572,kitabisa,2,1,idr,2000
573,kitabisa,2,1,idr,2000
574,kitabisa,2,1,idr,2000
575,kitabisa,2,1,idr,2000
576,kitabisa,2,1,idr,2000
577,kitabisa,2,1,idr,2000
578,kitabisa,2,1,idr,2000
579,kitabisa,2,1,idr,2000
580,kitabisa,2,1,idr,2000
581,kitabisa,2,1,idr,2000
582,kitabisa,2,1,idr,2000
583,kitabisa,2,1,idr,2000
584,kitabisa,2,1,idr,2000
585,kitabisa,2,1,idr,2000
586,kitabisa,2,1,idr,2000
